punk,  name

Punk 8,  CZ
Punk 9,  Doge
Punk 10, Elon Musk

Punk 13, Hal Finney
Punk 14, Hitman
Punk 15, Jason Statham
Punk 16, John Wick
Punk 17, Johnny Depp

Punk 21, Mark Zuckerberg

Punk 28, Michael J. Saylor

Punk 30, Paris Hilton I
Punk 31, Paris Hilton II

Punk 35, Satoshi Nakamoto
Punk 36, Sam Bankman

Punk 39, Trump
Punk 40, Vitalik
Punk 41, Walter White
Punk 42, Jack Dorsey

Punk 44, Albert Einstein

Punk 48, Chad
Punk 49, Jerome Powell
Punk 50, Janet Yellen

Punk 58, Zhu Su              # or  Martin Shkreli?
Punk 59, Do Kwon             # or  Martin Shkreli?
Punk 60, Indiana Jones
Punk 61, Abraham Lincoln
Punk 62, Salvador Dali
Punk 63, LCDP Dali
Punk 64, George Washington
Punk 65, Saudi
Punk 66, Bill Gates

Punk 72, Charlie Chaplin

Punk 74, Wolverine

Punk 84, Lebron James

Punk 98, Cristiano Ronaldo
Punk 99, Mona Lisa
